,Mes,Inflacion,Desempleo,Expectativa_Inflacion,M1,expectativa inflacion mes siguiente,indice real de remuneraciones,Inflacion_anterior,Z,Inflacion_pred,Inflacion_pred_restr
129,2020-12-01,0.3,10.286318749044,0.2,68573.216866945,0.3,0.0236969232445,-0.1,0.30000000000000004,0.3466876458861434,0.3121185108774295
130,2021-01-01,0.7,10.227160890761,0.3,68802.574755065,0.2,0.4527913946511,0.3,0.0,0.2901511834542244,0.2857000002439761
131,2021-02-01,0.2,10.304521336183,0.3,68709.148398518,0.4,-0.421005693418,0.7,-0.39999999999999997,0.4111193405576714,0.4010192298431251
132,2021-03-01,0.4,10.353809664207,0.4,70043.594926572,0.3,0.9099809048569,0.2,0.2,0.3079066349964982,0.3207251055869334
133,2021-04-01,0.4,10.244367108474,0.3,70432.75622378,0.3,-0.284043103906,0.4,-0.10000000000000003,0.44552698178400185,0.42829878631668117
134,2021-05-01,0.3,10.037301451191,0.3,81242.17243823,0.2,-0.641268088053,0.4,-0.10000000000000003,0.5988759024829947,0.5653829478548442
135,2021-06-01,0.1,9.4964882170436,0.3,80610.055044871,0.2,0.3209206792354,0.3,0.0,0.43030283599632846,0.4104400227464998
136,2021-07-01,0.8,8.9332892027599,0.3,81330.337506684,0.3,0.5050373486857,0.1,0.19999999999999998,0.4614976721911671,0.43624004211380374
137,2021-08-01,0.4,8.5475660411635,0.3,80589.492372996,0.4,-0.289092072175,0.8,-0.5,0.5372274518878992,0.5140748091065341
138,2021-09-01,1.2,8.4056111552988,0.6,79845.102476843,0.6,-0.813108567172,0.4,0.19999999999999996,1.0365535839392648,1.0261838689626885
139,2021-10-01,1.3,8.0766005069859,0.7,79448.263066556,0.4,-0.761746138725,1.2,-0.5,1.0081425610922998,1.0304668332622282
140,2021-11-01,0.5,7.527649055274,0.5,79549.417978983,0.5,0.2310671808187,1.3,-0.8,0.5967569249359996,0.6154402713838462
141,2021-12-01,0.8,7.1898934478904,0.5,79300.913683377,0.5,0.500965743253,0.5,0.0,0.6929728980640998,0.6935281762396779
142,2022-01-01,1.2,7.271464819756,0.6,76282.165075848,0.5,0.6223791747801,0.8,-0.20000000000000007,0.695422263971092,0.720592291100618
143,2022-02-01,0.3,7.4985219215408,0.6,73512.442732232,0.7,-0.450395732292,1.2,-0.6,0.8366331488840837,0.8551047071932614
144,2022-03-01,1.9,7.7978651688704,0.8,71996.203301297,0.5,-0.659279872719,0.3,0.5,1.2176697709285345,1.2330209070950937
145,2022-04-01,1.4,7.7474931765825,0.8,71041.517122627,0.6,-0.759389695951,1.9,-1.0999999999999999,0.9624880238043532,1.0199100465621402
146,2022-05-01,1.2,7.8039797578749,0.9,66808.801439789,0.6,-0.121699756071,1.4,-0.4999999999999999,0.9819614432004053,1.0530619746200882
147,2022-06-01,0.9,7.8114737505625,0.8,66768.126169685,0.8,-0.177103104773,1.2,-0.3999999999999999,0.9249151523525655,0.9782051038339636
148,2022-07-01,1.4,7.9188115449306,1.0,62528.873141579,0.8,-0.193399206815,0.9,0.09999999999999998,1.155912722267888,1.2272185711768633
